Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
Standup M-Set Hybrid Reactor Time Efficiency I,3,3,1.954.692.076,,,,,,,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-903,89,165,1.952.775.526,,,,,,,
Nidhoggur Headhunter SKIN,1,1,1.952.500.000,,,,,,,
Ice Harvester II,176,543,1.948.086.400,,,,,,,
Caldari Navy Light Missile Launcher,17,25,1.947.910.315,,,,,,,
Caldari Navy Warden,112,707,1.947.105.191,,,,,,,
Standup Einherji I,19,120,1.946.860.238,,,,,,,
250mm Railgun II,352,2.059,1.943.960.181,,,,,,,
Estamel's Modified Large Shield Booster,1,1,1.943.000.021,,,,,,,
500MN Digital Booster Microwarpdrive,4,4,1.940.192.275,,,,,,,
Large Compact Vorton Projector,3,3,1.936.542.867,,,,,,,
Vargur Heartsurge SKIN,1,1,1.935.370.350,,,,,,,
Standup M-Set Basic Small Ship Manufacturing Material Efficiency I,2,2,1.931.025.017,,,,,,,
Women's 'Hephaestus' Pants (desert),1,1,1.930.000.000,,,,,,,
Large Kinetic Armor Reinforcer II,12,13,1.927.312.059,,,,,,,
Sentient Drone Navigation Computer,54,75,1.924.402.401,,,,,,,
Standup M-Set Basic Large Ship Manufacturing Time Efficiency I,3,3,1.923.012.512,,,,,,,
Multispectrum Energized Membrane II,1.347,3.224,1.918.798.836,,,,,,,
Phoenix Navy Issue Union Day Executive SKIN,4,4,1.916.149.793,,,,,,,
Occult M,268,1.136.257,1.915.686.344,,,,,,,
10000MN Afterburner II,9,9,1.914.143.531,,,,,,,
Antibiotics,233,4.064.313,1.912.549.415,,,,,,,
Structure Reprocessing Plant Blueprint,9,10,1.911.111.111,,,,,,,
Strong Drop Booster,31,73,1.909.716.256,,,,,,,
Transport Ships,43,61,1.909.410.142,,,,,,,
Standard Drop Booster,134,775,1.908.861.788,,,,,,,
Capital Flex Armor Hardener II,19,21,1.906.891.861,,,,,,,
Poteque 'Prospector' Astrometric Rangefinding AR-806,58,82,1.904.955.011,,,,,,,
Moros Blueprint,1,1,1.900.000.000,,,,,,,
Sacrilege Crown and Swords SKIN,1,1,1.900.000.000,,,,,,,
Raysere's Modified Power Diagnostic System,1,1,1.900.000.000,,,,,,,
Women's Caldari State Officer Jacket,1,1,1.900.000.000,,,,,,,
Phobos Intaki Syndicate SKIN,1,1,1.899.000.064,,,,,,,
True Sansha Capital Shield Extender,2,2,1.897.200.000,,,,,,,
Nemesis,76,112,1.896.943.445,,,,,,,
Standup M-Set Basic Large Ship Manufacturing Material Efficiency I,3,3,1.896.472.231,,,,,,,
Mega Beam Laser II,48,267,1.894.256.021,,,,,,,
Dread Guristas Control Tower,1,1,1.892.479.597,,,,,,,
Compressed Dark Ochre,31,630.362,1.892.300.421,,,,,,,
Pith A-Type Shield Boost Amplifier,16,16,1.892.014.351,,,,,,,
Hornet II,818,5.561,1.891.559.235,,,,,,,
Oxidizing Compound,73,4.092.720,1.890.601.462,,,,,,,
ElectroPunch Ultra M,59,360.139,1.889.062.096,,,,,,,
500MN Y-T8 Compact Microwarpdrive,666,4.336,1.888.278.836,,,,,,,
Caldari Navy Inferno Heavy Missile,352,2.133.056,1.885.788.018,,,,,,,
Standup M-Set Ammunition Manufacturing Material Efficiency I,2,2,1.880.327.128,,,,,,,
Pressurized Oxidizers Reaction Formula,37,105,1.877.889.945,,,,,,,
Large Ice Compressor I Blueprint,6,6,1.877.606.122,,,,,,,
Thanatos Blueprint,1,2,1.875.000.000,,,,,,,
Magnetometric-FTL Interlink Communicator Blueprint,1,1,1.875.000.000,,,,,,,
Hulk GalNet StreamCast Unit SKIN,10,10,1.873.761.511,,,,,,,
Augmented' Wasp,20,59,1.873.196.953,,,,,,,
Nestor Friendship League SKIN,3,3,1.872.817.514,,,,,,,
Dragoon Imperial Jubilee SKIN,1,1,1.872.000.000,,,,,,,
Scourge Fury Heavy Missile,506,4.251.389,1.871.285.287,,,,,,,
Datacore - Nanite Engineering,625,34.344,1.870.307.992,,,,,,,
Neurotoxin Recovery,53,66,1.867.717.259,,,,,,,
Mobile Depot,682,1.203,1.864.907.133,,,,,,,
Leshak Red Meatgrinder SKIN,2,2,1.864.359.171,,,,,,,
Structure Repair Facility Blueprint,8,9,1.863.030.303,,,,,,,
Medium EM Armor Reinforcer II,67,98,1.861.301.615,,,,,,,
Entosis Link I,46,96,1.858.417.597,,,,,,,
Setele's Modified 100MN Afterburner,1,1,1.858.000.000,,,,,,,
500MN Quad LiF Restrained Microwarpdrive,607,4.432,1.857.337.526,,,,,,,
Tengu Propulsion - Interdiction Nullifier,43,51,1.856.926.441,,,,,,,
Security Connections,72,99,1.856.737.447,,,,,,,
Strong Exile Booster,47,106,1.852.320.555,,,,,,,
Domination Heavy Warp Disruptor,2,2,1.852.143.768,,,,,,,
Electrolytes,121,5.953.673,1.849.979.720,,,,,,,
Federation Navy Hobgoblin,220,1.542,1.849.734.050,,,,,,,
Bhaalgorn Luminae Polaris SKIN,2,2,1.849.600.020,,,,,,,
Nyx Inner Zone Vanguard SKIN,1,1,1.848.999.936,,,,,,,
Shadow Serpentis 425mm Railgun,17,33,1.847.007.755,,,,,,,
Dual 1000mm Railgun II,3,6,1.845.597.174,,,,,,,
Structure Acceleration Coils Blueprint,9,9,1.844.444.444,,,,,,,
Zainou 'Beancounter' Metallurgy MY-705,10,12,1.841.344.903,,,,,,,
Shadow Serpentis Neutron Blaster Cannon,8,11,1.839.294.737,,,,,,,
Medium Core Defense Field Extender I,1.169,3.865,1.838.789.163,,,,,,,
Capsule Capsuleer Elite XX SKIN,2,2,1.838.261.330,,,,,,,
Cyclone Blueprint,3,3,1.837.297.967,,,,,,,
Republic Fleet Phased Plasma L,182,1.537.277,1.836.835.509,,,,,,,
Zainou 'Gypsy' CPU Management EE-606,3,3,1.836.748.981,,,,,,,
Heron Navy Issue,62,89,1.833.010.359,,,,,,,
Capital Nanobot Accelerator II,2,2,1.830.773.644,,,,,,,
Cap Booster 3200,197,34.554,1.828.477.990,,,,,,,
500MN Cold-Gas Enduring Microwarpdrive,519,4.372,1.828.108.915,,,,,,,
Capital Mercoxit Compressor I Blueprint,1,1,1.825.500.032,,,,,,,
Zainou 'Gnome' Shield Management SM-703,80,119,1.824.805.774,,,,,,,
Black Ops,24,30,1.823.333.983,,,,,,,
Datacore - Laser Physics,771,39.954,1.822.514.701,,,,,,,
Structure Factory Blueprint,8,9,1.822.081.481,,,,,,,
Mobile Observatory Blueprint,10,18,1.820.000.000,,,,,,,
Mid-grade Ascendancy Epsilon,8,9,1.818.598.193,,,,,,,
Small Disintegrator Specialization,119,155,1.816.880.113,,,,,,,
Mid-grade Hydra Epsilon,5,5,1.814.886.304,,,,,,,
Tornado Blueprint,2,3,1.813.672.727,,,,,,,
Medium Thermal Armor Reinforcer II,58,78,1.811.514.636,,,,,,,
Prophecy Blueprint,3,3,1.803.750.000,,,,,,,
Standup M-Set Advanced Large Ship Manufacturing Material Efficiency I,2,2,1.803.116.736,,,,,,,
Compressed Malachite Mykoserocin,15,48.949,1.803.014.205,,,,,,,
Chelm's Modified Heavy Capacitor Booster,1,1,1.800.000.000,,,,,,,
Cormack's Modified Kinetic Energized Membrane,1,1,1.800.000.000,,,,,,,
Large Gas Compressor I Blueprint,3,3,1.800.000.000,,,,,,,
Republic Fleet Large Proton Smartbomb,9,14,1.799.950.771,,,,,,,
Structure Hangar Array Blueprint,9,9,1.799.948.719,,,,,,,
Aeon Khanid SKIN,1,1,1.799.000.064,,,,,,,
Mining Laser Upgrade II,1.047,3.794,1.798.612.782,,,,,,,
Bustard Vitalshift EGO SKIN,1,1,1.798.000.000,,,,,,,
Synth Drop Booster,247,995,1.797.263.181,,,,,,,
Centus A-Type Large Armor Repairer,3,3,1.792.382.570,,,,,,,
Retribution Sanguinary Savant SKIN,4,5,1.791.077.622,,,,,,,
Ultratidal Entropic Disintegrator I,6,7,1.790.511.630,,,,,,,
Caldari Navy Hornet,379,2.643,1.786.294.547,,,,,,,
Kronos Heartsurge SKIN,2,2,1.780.984.309,,,,,,,
Standup M-Set Biochemical Reactor Time Efficiency II,1,1,1.780.000.000,,,,,,,
Pontifex,28,39,1.779.010.052,,,,,,,
Domination Large Proton Smartbomb,14,20,1.778.690.611,,,,,,,
Legion Offensive - Liquid Crystal Magnifiers,52,62,1.778.044.307,,,,,,,
Light Missile Launcher II,712,3.68,1.777.426.526,,,,,,,
Dunk' Salvage Drone,66,349,1.776.811.145,,,,,,,
Standard Blue Pill Booster,256,1.327,1.774.649.599,,,,,,,
Worm Empyrean Outlaws SKIN,36,37,1.774.341.186,,,,,,,
Black Market 'Valdimar' Drone Sharpshooting DS-803,3,3,1.774.300.034,,,,,,,
Tycoon,12,12,1.772.849.247,,,,,,,
Fighters,20,24,1.771.672.573,,,,,,,
Structure Office Center Blueprint,8,9,1.769.226.036,,,,,,,
Large Industrial Core I,46,48,1.764.303.846,,,,,,,
Caldari Control Tower Small,11,13,1.760.794.347,,,,,,,
Ametat I,8,68,1.760.721.194,,,,,,,
Legion Propulsion - Intercalated Nanofibers,53,62,1.760.006.259,,,,,,,
Datacore - Mechanical Engineering,986,57.39,1.758.636.586,,,,,,,
Caldari Navy Scourge Heavy Assault Missile,345,2.360.886,1.758.319.532,,,,,,,
Jump Portal Generation,21,25,1.757.498.093,,,,,,,
Pith X-Type Thermal Shield Hardener,80,106,1.755.776.466,,,,,,,
10th Tier Overseer's Personal Effects,808,3.401,1.752.979.622,,,,,,,
Hermetic Membranes,56,22.644,1.752.786.604,,,,,,,
Proteus Propulsion - Hyperspatial Optimization,50,58,1.752.637.527,,,,,,,
Oneiros Intaki Syndicate SKIN,1,1,1.752.000.000,,,,,,,
Low-grade Harvest Omega,3,3,1.749.550.817,,,,,,,
Mid-grade Hydra Delta,5,5,1.748.404.018,,,,,,,
True Sansha Power Diagnostic System,47,63,1.746.013.333,,,,,,,
Dread Guristas Cloaking Device,40,42,1.743.653.259,,,,,,,
Republic Fleet 720mm Howitzer Artillery,4,12,1.742.506.250,,,,,,,
Eagle State Police SKIN,1,1,1.742.000.000,,,,,,,
Small Auxiliary Nano Pump II,153,239,1.740.607.132,,,,,,,
Vindicator Heartsurge SKIN,1,1,1.740.000.043,,,,,,,
Dark Blood 25000mm Steel Plates,3,3,1.739.111.111,,,,,,,
Industrial Fibers,70,3.744.101,1.738.506.451,,,,,,,
Cruor,19,22,1.735.285.071,,,,,,,
Legion Propulsion - Wake Limiter,37,43,1.735.139.016,,,,,,,
Zainou 'Deadeye' Missile Bombardment MB-705,10,10,1.731.169.082,,,,,,,
Corelum C-Type Medium Remote Armor Repairer,31,46,1.729.902.453,,,,,,,
Rattlesnake King's Ransom Luecin SKIN,4,4,1.728.396.740,,,,,,,
Dread Guristas XL Torpedo Launcher,3,4,1.726.757.474,,,,,,,
CONCORD General Emblem,22,433,1.723.558.552,,,,,,,
Gist C-Type Shield Boost Amplifier,10,11,1.723.197.807,,,,,,,
Tachyon Beam Laser II,57,273,1.718.372.510,,,,,,,
Capital Corporate Hangar Bay,16,102,1.718.019.807,,,,,,,
Gallente Dreadnought,9,12,1.717.747.881,,,,,,,
Arbalest' Heavy Missile Launcher,402,1.527,1.717.313.158,,,,,,,
Loki Offensive - Projectile Scoping Array,46,55,1.716.863.472,,,,,,,
Orca Nocx Rush SKIN,1,1,1.716.000.000,,,,,,,
Avatar Interstellar Convergence SKIN,1,1,1.714.500.000,,,,,,,
Standup M-Set Advanced Large Ship Manufacturing Time Efficiency I,2,2,1.712.370.346,,,,,,,
Caiman Arkombine Arisen SKIN,3,3,1.712.000.000,,,,,,,
Corelum B-Type Medium Armor Repairer,12,12,1.711.904.175,,,,,,,
Curse Purity of the Throne SKIN,3,3,1.709.750.016,,,,,,,
Corpus C-Type Heavy Energy Neutralizer,15,20,1.709.551.444,,,,,,,
Unit D-34343's Modified Sensor Booster,1,1,1.707.750.036,,,,,,,
Gravid Damage Control Mutaplasmid,24,70,1.707.377.955,,,,,,,
Small Ancillary Current Router II,343,714,1.706.833.507,,,,,,,
Dark Blood Capital Energy Nosferatu,3,3,1.706.703.665,,,,,,,
Modulated Deep Core Strip Miner II,107,286,1.703.270.544,,,,,,,
Flycatcher Malagrin Marshlight SKIN,30,38,1.703.070.703,,,,,,,
Gungnir II,14,99,1.699.711.128,,,,,,,
Omen Ironblood SKIN,1,1,1.698.000.000,,,,,,,
Black Market 'Valdimar' Drone Navigation DN-703,2,2,1.697.008.028,,,,,,,
Core X-Type Explosive Armor Hardener,24,27,1.696.464.370,,,,,,,
Crow,113,138,1.696.462.115,,,,,,,
Mid-grade Virtue Beta,23,27,1.696.378.986,,,,,,,
Rattlesnake GalNet StreamCast Unit SKIN,6,6,1.694.613.455,,,,,,,
Mid-grade Rapture Epsilon,3,3,1.690.235.299,,,,,,,
Paladin Blood Raiders SKIN,1,1,1.688.999.936,,,,,,,
Exhumers,45,57,1.688.824.661,,,,,,,
Proteus Core - Augmented Fusion Reactor,51,57,1.687.550.425,,,,,,,
Thukker Medium Cap Battery,38,53,1.687.495.965,,,,,,,
Gas Cloud Harvester II,116,335,1.686.760.127,,,,,,,
Marshal DED 'Master-at-Arms' Recruiter SKIN,1,1,1.686.645.920,,,,,,,
Zainou 'Snapshot' Light Missiles LM-905,13,14,1.686.229.226,,,,,,,
Heavy Gunnar Compact Stasis Grappler,389,2.976,1.684.678.452,,,,,,,
Industrial Command Ships,29,36,1.683.751.630,,,,,,,
Titanium Carbide Reaction Formula,32,114,1.681.891.377,,,,,,,
Ward Console,839,136.947,1.681.319.197,,,,,,,
Tracking Computer II,704,1.807,1.681.054.945,,,,,,,
Inherent Implants 'Noble' Mechanic MC-805,12,14,1.680.891.548,,,,,,,
Core C-Type 100MN Afterburner,12,12,1.679.480.255,,,,,,,
Mackinaw Morphite Shine SKIN,4,4,1.679.373.003,,,,,,,
Reinforced Carbon Fiber Reaction Formula,41,117,1.678.596.180,,,,,,,
High-grade Mimesis Beta,5,5,1.677.589.548,,,,,,,
Erebus Interstellar Convergence SKIN,1,1,1.677.222.222,,,,,,,
Lanthanum Metallofullerene,95,130.86,1.676.390.529,,,,,,,
Fernite Carbide Reaction Formula,33,124,1.673.458.709,,,,,,,
Improved Blue Pill Booster,106,449,1.673.314.147,,,,,,,
Synthetic Oil,74,342.848,1.672.803.350,,,,,,,
Spiced Wine,75,613.476,1.671.790.178,,,,,,,
Dread Guristas Rapid Light Missile Launcher,9,11,1.671.301.507,,,,,,,
Slaves,48,1.585.263,1.669.043.977,,,,,,,
Men's Sisters of EVE Advanced Combat Suit,2,3,1.665.176.779,,,,,,,
Fullerene Intercalated Graphite,107,202.392,1.664.392.482,,,,,,,
Cruise Missile Launcher II,211,1.073,1.664.047.268,,,,,,,
Strong Mindflood Booster,50,111,1.661.728.736,,,,,,,
Minmatar Dreadnought,9,11,1.661.636.191,,,,,,,
Imperial Navy Command Mindlink,5,5,1.658.974.436,,,,,,,
Women's Albedo Affluence Jacket,2,2,1.658.562.664,,,,,,,
Fullerite-C60,144,664.06,1.657.644.196,,,,,,,
Golem Octopus Red Flight SKIN,1,1,1.656.499.968,,,,,,,
Women's Kaalakiota Crew Jacket,1,1,1.654.899.968,,,,,,,
CONCORD Dual Giga Pulse Laser,2,4,1.654.794.382,,,,,,,
Compressed Condensed Scordite,186,200.130.859,1.653.980.250,,,,,,,
Capital Titanium Diborite Armor Plate,3,773,1.653.681.750,,,,,,,
Standup M-Set Equipment Manufacturing Material Efficiency I,2,2,1.652.746.176,,,,,,,
CONCORD Hexa 2500mm Repeating Cannon,5,8,1.652.051.070,,,,,,,
Archon Blueprint,1,2,1.650.000.000,,,,,,,
Crystalline Carbonide Reaction Formula,41,130,1.648.687.537,,,,,,,
Large Asteroid Ore Compressor I,61,68,1.648.613.467,,,,,,,
Synth Crash Booster,195,879,1.647.849.614,,,,,,,
Medium Gas Compressor I,25,27,1.646.534.770,,,,,,,
Inherent Implants 'Squire' Capacitor Systems Operation EO-606,3,3,1.643.490.235,,,,,,,
Compressed Prismatic Gneiss,29,826.547,1.642.609.270,,,,,,,
Eifyr and Co. 'Gunslinger' Medium Projectile Turret MP-805,13,14,1.642.466.052,,,,,,,
Imperial Navy Major Insignia I,138,3.328,1.639.794.977,,,,,,,
Unstable 50MN Microwarpdrive Mutaplasmid,26,39,1.639.609.230,,,,,,,
Expanded Cargohold II,1.804,6.31,1.637.915.334,,,,,,,
Zephyr,14,18,1.634.816.228,,,,,,,
Small Tractor Beam I,361,929,1.634.175.185,,,,,,,
Capital Ancillary Armor Repairer,10,14,1.634.174.264,,,,,,,
Structure Electromagnetic Sensor Blueprint,8,8,1.633.333.333,,,,,,,
Structure Storage Bay Blueprint,7,8,1.632.416.667,,,,,,,
Medium 'Ditch' Energy Neutralizer,10,12,1.632.354.733,,,,,,,
Centum C-Type Medium Remote Armor Repairer,34,51,1.632.247.142,,,,,,,
Poteque 'Prospector' Astrometric Acquisition AQ-706,46,74,1.628.670.854,,,,,,,
Gist A-Type Shield Boost Amplifier,8,8,1.627.690.091,,,,,,,
Shadow Serpentis Heavy Warp Disruptor,1,1,1.626.000.000,,,,,,,
Eifyr and Co. 'Rogue' High Speed Maneuvering HS-905,13,16,1.625.954.685,,,,,,,
Atgeir' Explosive Disruptive Lance Blueprint,3,3,1.625.000.000,,,,,,,
Gist A-Type 100MN Afterburner,9,9,1.624.402.124,,,,,,,
Ore Prospecting Array 4,4,4,1.622.502.331,,,,,,,
Draclira's Modified Reactor Control Unit,2,2,1.619.866.652,,,,,,,
Methanofullerene,93,156.944,1.617.312.563,,,,,,,
Nightmare Red Stargazer SKIN,3,3,1.616.527.340,,,,,,,
Chelm's Modified Thermal Energized Membrane,1,1,1.612.666.667,,,,,,,
Caldari Navy 425mm Railgun,5,10,1.611.779.230,,,,,,,
Large Warhead Rigor Catalyst II,29,36,1.611.360.777,,,,,,,
Capital Inverted Signal Field Projector I,6,44,1.609.999.968,,,,,,,
Stasis Webifier II,1.172,2.825,1.608.831.880,,,,,,,
Dread Guristas XL Cruise Missile Launcher,2,3,1.608.150.000,,,,,,,
Selynne's Modified Capacitor Power Relay,1,1,1.607.159.992,,,,,,,
Data Chips,41,15.949,1.606.069.435,,,,,,,
Pith C-Type Shield Boost Amplifier,15,16,1.602.097.522,,,,,,,
Capital Warhead Rigor Catalyst II,6,6,1.601.812.707,,,,,,,
Large Gas Compressor I,11,11,1.601.556.536,,,,,,,
Domination Shield Boost Amplifier,17,18,1.601.541.375,,,,,,,
Leviathan Interstellar Convergence SKIN,1,1,1.598.020.401,,,,,,,
Ashimmu Vampire's Hex SKIN,1,1,1.598.000.000,,,,,,,
Dark Blood Power Diagnostic System,57,78,1.595.988.783,,,,,,,
Zainou 'Gnome' Shield Operation SP-903,56,85,1.595.113.843,,,,,,,
Capital Crystalline Carbonide Armor Plate,2,21,1.595.109.750,,,,,,,
Vexor Blueprint,10,16,1.593.513.026,,,,,,,
Shadow Serpentis Assault Damage Control,33,36,1.591.126.377,,,,,,,
High-grade Mimesis Delta,3,3,1.587.499.131,,,,,,,
Republic Fleet EMP M,520,2.749.452,1.584.544.590,,,,,,,
Caldari Navy Inferno Light Missile,647,2.614.153,1.583.440.250,,,,,,,
Inherent Implants 'Highwall' Mining MX-1003,61,127,1.583.063.014,,,,,,,
Censer' Medium Cap Battery,18,19,1.581.869.584,,,,,,,
Medium Shield Extender II,1.443,3.372,1.579.404.391,,,,,,,
Heavy Karelin Scoped Stasis Grappler,395,2.776,1.579.193.478,,,,,,,
Dread Guristas Shield Boost Amplifier,60,71,1.578.833.718,,,,,,,
Bhaalgorn Vampire's Hex SKIN,1,1,1.578.000.000,,,,,,,
Plasmonic Metamaterials Reaction Formula,23,90,1.577.835.787,,,,,,,
Imperial Navy Slicer,120,253,1.577.288.391,,,,,,,
Standup M-Set Moon Drilling Efficiency I,2,2,1.576.292.880,,,,,,,
Minmatar Control Tower Small,9,9,1.575.004.366,,,,,,,
Bifrost Kybernaut Clade SKIN,1,1,1.575.000.064,,,,,,,
Capital Ship Maintenance Bay,18,91,1.574.658.945,,,,,,,
Moa,112,157,1.572.282.531,,,,,,,
Sensor Booster II,886,2.384,1.571.513.990,,,,,,,
Centum A-Type Thermal Energized Membrane,18,21,1.571.413.934,,,,,,,
Optimized Attainment Decryptor,299,759,1.570.879.898,,,,,,,
Unstable 10MN Afterburner Mutaplasmid,24,33,1.570.075.942,,,,,,,
Caracal Blueprint,14,15,1.568.008.780,,,,,,,
Federation Navy Drone Navigation Computer,14,15,1.567.463.948,,,,,,,
Shadow Control Tower,1,1,1.566.666.667,,,,,,,
Structure Construction Parts Blueprint,7,8,1.566.590.278,,,,,,,
Medium Hydraulic Bay Thrusters II,124,290,1.566.082.639,,,,,,,
Large EM Shield Reinforcer II,90,122,1.565.804.154,,,,,,,
Standup M-Set Structure Manufacturing Material Efficiency I,2,2,1.564.758.813,,,,,,,
Cloning Facility Operation,12,12,1.563.378.344,,,,,,,
Cormorant Navy Issue Heartsurge SKIN,1,1,1.562.999.936,,,,,,,
Megathron Gilded Predator SKIN,1,1,1.560.377.519,,,,,,,
Poteque 'Prospector' Environmental Analysis EY-1005,51,73,1.559.950.540,,,,,,,
Capital Armor Repairer I,15,18,1.559.833.489,,,,,,,
Structure Laboratory Blueprint,7,8,1.559.820.000,,,,,,,
Men's Obsidian Opulence Jacket,4,4,1.559.403.832,,,,,,,
Osprey Combat Medic Section SKIN,19,21,1.558.803.758,,,,,,,
Federation Navy Omnidirectional Tracking Link,40,60,1.558.584.278,,,,,,,
Heavy Jigoro Enduring Stasis Grappler,367,2.734,1.556.716.039,,,,,,,
Polarized Mega Pulse Laser,33,145,1.556.510.379,,,,,,,
Heavy Energy Neutralizer II,167,404,1.553.862.115,,,,,,,
Zainou 'Gypsy' Signature Analysis SA-706,2,2,1.551.585.161,,,,,,,
Caldari Freighter,16,19,1.548.438.132,,,,,,,
Capital Magpulse Thruster,3,538,1.548.210.667,,,,,,,
Augmented' Acolyte,24,73,1.547.748.095,,,,,,,
Federation Navy Comet,136,262,1.545.430.378,,,,,,,
Gas Decompression Efficiency,20,21,1.545.275.591,,,,,,,
Vagabond Heartsurge SKIN,1,1,1.544.400.000,,,,,,,
Standup M-Set Advanced Component Manufacturing Time Efficiency I,2,2,1.544.395.952,,,,,,,
Zainou 'Snapshot' Heavy Assault Missiles AM-705,15,17,1.544.065.688,,,,,,,
Occult S,342,2.014.529,1.543.623.624,,,,,,,
Capital Computer System,18,100,1.541.775.496,,,,,,,
Loki Offensive - Support Processor,42,56,1.539.438.994,,,,,,,
Small Vorton Specialization,23,29,1.539.244.171,,,,,,,
Compressed Golden Mykoserocin,16,37.199,1.537.507.984,,,,,,,
Inherent Implants 'Noble' Hull Upgrades HG-1003,70,150,1.533.684.554,,,,,,,
Hypnagogic Neurolink Enhancer,17,4.627,1.533.528.066,,,,,,,
Large Cargohold Optimization II,19,31,1.533.260.503,,,,,,,
Heavy Pulse Laser II,198,891,1.530.093.246,,,,,,,
Medium Energy Neutralizer II,325,804,1.528.424.386,,,,,,,
Inherent Implants 'Noble' Remote Armor Repair Systems RA-705,8,10,1.527.964.295,,,,,,,
Tungsten Carbide Armor Plate,92,383.004,1.526.519.856,,,,,,,
Standup Invention Lab I,8,8,1.524.147.665,,,,,,,
Pith X-Type Kinetic Shield Hardener,76,105,1.521.716.092,,,,,,,
Capital Core Defense Field Purger II,4,4,1.521.580.000,,,,,,,
Draclira's Modified Heavy Energy Nosferatu,2,2,1.520.700.032,,,,,,,
Low-grade Nirvana Omega,5,5,1.518.934.041,,,,,,,
Large Mercoxit Compressor I Blueprint,3,3,1.518.666.667,,,,,,,
Capital Core Defense Capacitor Safeguard II,22,35,1.518.179.552,,,,,,,
Interdiction Sphere Launcher I,307,708,1.518.106.005,,,,,,,
Augmented' Hobgoblin,93,467,1.515.643.570,,,,,,,
Odin Synthetic Eye (left/gray),1,1,1.515.096.023,,,,,,,
Women's Albedo Affluence Pants,2,2,1.513.748.347,,,,,,,
Eifyr and Co. 'Rogue' Navigation NN-605,10,12,1.512.771.489,,,,,,,
Datacore - Minmatar Starship Engineering,226,27.548,1.511.057.364,,,,,,,
AEGIS Covert Operations Reports,4,171,1.510.669.898,,,,,,,
Mid-grade Harvest Alpha,7,8,1.510.532.522,,,,,,,
Tengu Nightfire SKIN,4,4,1.510.423.802,,,,,,,
Zainou 'Snapshot' Heavy Missiles HM-705,10,11,1.508.929.369,,,,,,,
Sentient Omnidirectional Tracking Link,42,60,1.508.123.299,,,,,,,
Capital Photon Microprocessor,2,282,1.506.700.800,,,,,,,
Paladin Purity of the Throne SKIN,1,1,1.506.682.634,,,,,,,
Proteus Propulsion - Localized Injectors,31,33,1.506.091.434,,,,,,,
Caldari Navy Antimatter Charge L,203,1.831.067,1.504.568.969,,,,,,,
Medium Scoped Vorton Projector,4,4,1.503.122.269,,,,,,,
Draclira's Modified EM Energized Membrane,1,1,1.503.000.064,,,,,,,
Standup M-Set Basic Capital Component Manufacturing Time Efficiency I,2,2,1.501.725.024,,,,,,,
Azmaru' Electromagnetic Disruptive Lance Blueprint,3,3,1.501.000.000,,,,,,,
Centus X-Type Explosive Armor Hardener,18,20,1.500.887.661,,,,,,,
Erebus Glittering Dream SKIN,1,1,1.500.000.000,,,,,,,
Vindicator Eden's Hunters SKIN,1,1,1.500.000.000,,,,,,,
Nyx Intaki Syndicate SKIN,1,1,1.500.000.000,,,,,,,
Standup Multirole Missile Launcher I Blueprint,5,5,1.500.000.000,,,,,,,
Gallente Control Tower Blueprint,3,3,1.500.000.000,,,,,,,
Jormungandr' Explosive Reaper,1,1,1.500.000.000,,,,,,,
Garmur Redclaw Sable SKIN,1,1,1.500.000.000,,,,,,,
Svipul In Rust We Trust SKIN,1,1,1.500.000.000,,,,,,,
Minmatar Control Tower Blueprint,3,3,1.500.000.000,,,,,,,
Vexor Navy Issue Federal Police SKIN,1,1,1.500.000.000,,,,,,,
True Sansha Control Tower,1,1,1.500.000.000,,,,,,,
Obelisk Inner Zone Vanguard SKIN,1,1,1.499.500.032,,,,,,,
Unstable X-Large Shield Booster Mutaplasmid,31,43,1.499.040.489,,,,,,,
Dominix Luminaire Rising SKIN,1,1,1.499.000.064,,,,,,,
Standup M-Set Hybrid Reactor Material Efficiency II,1,1,1.499.000.064,,,,,,,
Providence Raata Sunset SKIN,1,1,1.499.000.064,,,,,,,
Dominix Navy Issue Glittering Dream SKIN,1,1,1.498.000.000,,,,,,,
Standup Firbolg I,18,107,1.497.844.390,,,,,,,
Draclira's Modified Kinetic Energized Membrane,1,1,1.496.000.000,,,,,,,
Industrial Jump Portal Generator I Blueprint,2,3,1.496.000.000,,,,,,,
Rorqual Angel Industrial Livery SKIN,1,1,1.495.000.064,,,,,,,
Medium Semiconductor Memory Cell II,80,114,1.494.357.957,,,,,,,
AV-Composite Molecular Condenser,252,3.934,1.493.507.467,,,,,,,
Corpus X-Type Kinetic Armor Hardener,46,57,1.492.371.551,,,,,,,
Dread Guristas Stasis Webifier,40,45,1.492.085.433,,,,,,,
Dark Blood Medium Armor Repairer,23,25,1.491.008.573,,,,,,,
Caldari Navy Rocket Launcher,13,32,1.490.839.249,,,,,,,
Large Micro Jump Drive,494,752,1.490.028.693,,,,,,,
Dark Blood Control Tower Small,2,2,1.490.000.000,,,,,,,
Kikimora Red Meatgrinder SKIN,1,1,1.489.400.013,,,,,,,
Quad Mega Pulse Laser I,7,17,1.488.320.545,,,,,,,
Inquest 'Eros' Stasis Webifier MR-805,2,2,1.488.051.146,,,,,,,
