Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Mid-grade Mimesis Delta,4,4,1.458.341.116,L
Structure Factory Blueprint,7,7,1.457.142.857,L
Ferrofluid,23,146.117,1.456.862.748,L
'Augmented' Warrior,50,233,1.456.423.032,L
Cenotaph Luminae Polaris SKIN,5,5,1.455.294.166,L
Raven Gilded Predator SKIN,5,6,1.453.866.665,L
Men's 'Marshal' Jacket (Amarr),1,1,1.453.499.968,L
Capital Turret Hardpoint,8,77,1.452.224.114,L
Domination 50MN Microwarpdrive,10,11,1.452.009.567,L
'Dunk' Salvage Drone,72,364,1.451.927.820,L
Void Shift Matte - Unlimited,2,2,1.451.100.000,L
Low-grade Harvest Omega,3,3,1.450.611.333,L
Women's 'Outlaw' Pants (Sansha's Nation),1,1,1.450.000.000,L
Caldari Navy Light Missile Launcher,15,23,1.449.154.729,L
Low-grade Amulet Epsilon,5,5,1.449.069.460,L
Federation Navy Fleet Major Insignia I,183,10.975,1.448.453.598,L
Inherent Implants 'Noble' Mechanic MC-806,2,2,1.447.849.984,L
Draclira's Modified Reactor Control Unit,1,1,1.445.737.488,L
Covert Jump Portal Generator I Blueprint,3,3,1.444.367.232,L
Inherent Implants 'Squire' Capacitor Management EM-804,10,14,1.443.925.677,L
Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1006,2,3,1.443.915.317,L
Zainou 'Snapshot' Heavy Missiles HM-705,6,7,1.443.272.195,L
Chimera Arkombine Arisen SKIN,1,1,1.442.000.000,L
Caldari Navy Cloaking Device,58,73,1.441.182.638,L
Keres,38,58,1.440.914.157,L
Men's 'Sable' Cap (Black),1,1,1.440.000.000,L
Kitsune,42,71,1.439.758.502,L
Women's 'Avenue' Shirt (white),2,2,1.439.196.688,L
Standup Templar I,12,98,1.439.000.089,L
Upwell Consortium Loyalty Token,3,9.868,1.437.500.000,L
Improved Mindflood Booster,113,415,1.436.579.026,L
Large Asteroid Ore Compressor I,53,57,1.434.447.780,L
Silicate Glass,28,163.733,1.433.856.275,L
Raven Cryptic Mimesis SKIN,3,3,1.433.759.968,L
Pith B-Type Shield Boost Amplifier,12,12,1.433.444.549,L
Compressed Massive Scordite,211,222.392.643,1.432.526.819,L
Mystic L,79,525.058,1.432.351.176,L
Barrage L,209,3.082.052,1.432.179.838,L
Gist C-Type Shield Boost Amplifier,7,7,1.432.058.931,L
Daredevil Serpentis Victory SKIN,1,1,1.432.000.000,L
Compressed Fullerite-C28,65,882.523,1.431.766.100,L
Centii A-Type Small Remote Armor Repairer,69,111,1.431.752.435,L
Advanced Infomorph Psychology,35,46,1.430.207.005,L
Selynne's Modified Heavy Capacitor Booster,1,1,1.430.000.000,L
Standup M-Set Missile Projection I,5,5,1.429.984.984,L
Thukker Medium Cap Battery,32,48,1.429.899.930,L
Mizuro's Modified Torpedo Launcher,2,2,1.428.992.000,L
Nanomechanical Microprocessor,55,57.291,1.427.606.107,L
'Warhammer' Large EMP Smartbomb,9,13,1.425.239.551,L
Imperial Navy Acolyte,292,2.262,1.424.959.333,L
Core B-Type Thermal Armor Hardener,10,10,1.423.928.937,L
Proteus Propulsion - Localized Injectors,28,34,1.422.908.917,L
Gravid Large Shield Extender Mutaplasmid,39,75,1.422.324.143,L
Small Focused Pulse Laser II,319,2.506,1.422.179.863,L
Minmatar Control Tower,3,3,1.420.362.751,L
Capital Ship Maintenance Bay,23,99,1.418.614.517,L
Capital F-S9 Regolith Compact Shield Extender,8,14,1.417.724.214,L
Gara's Modified Medium Remote Armor Repairer,4,4,1.416.584.283,L
Dread Guristas XL Torpedo Launcher,1,1,1.414.262.514,L
Veldspar,1.712,168.163.246,1.413.607.494,L
25000mm Steel Plates I,17,45,1.412.960.641,L
Wideband Emission Amplifier,440,884,1.412.643.876,L
Poteque 'Prospector' Environmental Analysis EY-1005,46,58,1.412.327.197,L
Rodiva Azdaja Extirpated SKIN,9,9,1.411.950.700,L
Pith C-Type EM Shield Hardener,14,15,1.411.506.703,L
Mid-grade Mimesis Omega,3,3,1.411.336.652,L
Republic Fleet Warrior,237,1.693,1.411.131.976,L
Golem State Police SKIN,20,29,1.410.622.170,L
Cormack's Modified EM Armor Hardener,2,2,1.409.625.024,L
Gas Decompression Efficiency,18,21,1.409.339.159,L
Starsi Blast! Classic,40,102,1.407.136.705,L
Biofuels,147,9.039.113,1.406.670.436,L
Nonlinear Metamaterials Reaction Formula,31,99,1.406.152.972,L
Core X-Type EM Armor Hardener,29,40,1.405.894.492,L
Damavik,42,54,1.405.868.143,L
Mid-grade Snake Beta,20,24,1.405.358.954,L
Providence Khanid Cyber Knight SKIN,1,1,1.404.658.668,L
Mobile Scan Inhibitor Blueprint,9,9,1.403.333.333,L
500MN Microwarpdrive II,110,145,1.402.248.189,L
Pithum A-Type Thermal Shield Amplifier,64,85,1.400.064.988,L
Structure Medical Center Blueprint,7,7,1.400.000.000,L
Jackdaw Quantum Potential SKIN,1,1,1.400.000.000,L
Pith A-Type EM Shield Hardener,14,15,1.399.868.835,L
Zainou 'Gnome' Shield Operation SP-903,51,83,1.398.699.500,L
Loki Defensive - Adaptive Defense Node,29,32,1.398.644.121,L
Four from One - Limited,7,54,1.398.509.137,L
Legion Propulsion - Wake Limiter,30,36,1.398.399.911,L
Unstable 10MN Afterburner Mutaplasmid,20,35,1.398.157.828,L
Caldari Navy 425mm Railgun,10,11,1.397.783.199,L
Capital Core Defense Field Purger II,3,4,1.397.712.512,L
Imperial Navy Slicer,85,149,1.396.054.303,L
Mobile Cynosural Beacon Blueprint,8,11,1.395.901.337,L
Sylramic Fibers Reaction Formula,43,149,1.395.592.188,L
Inherent Implants 'Noble' Remote Armor Repair Systems RA-705,8,11,1.391.519.006,L
Titanium Diborite Armor Plate,54,455.003,1.390.704.601,L
Tempest Fleet Issue Zydrine Burn SKIN,1,1,1.390.437.520,L
Charon Vitalshift EGO SKIN,15,22,1.389.759.032,L
Republic Fleet EMP M,426,1.800.850,1.389.187.901,L
200mm AutoCannon II,402,3.080,1.388.916.638,L
Process Decryptor,749,6.942,1.387.230.110,L
Hel Capsuleer Elite XIX SKIN,1,1,1.387.000.064,L
Federation Navy Multispectrum Energized Membrane,47,75,1.386.868.482,L
Phoenix Capsuleer Elite XIX SKIN,1,1,1.385.499.968,L
Federation Navy 250mm Railgun,8,12,1.385.262.500,L
Mid-grade Centurion Omega,2,2,1.384.666.666,L
Tengu Propulsion - Interdiction Nullifier,32,39,1.382.831.096,L
Tengu Offensive - Magnetic Infusion Basin,30,36,1.382.011.231,L
Compressed Glistening Bitumens,26,1.420.905,1.380.892.079,L
Core B-Type Explosive Armor Hardener,7,7,1.379.989.844,L
Compressed Hemorphite,16,490.627,1.378.859.831,L
Datacore - Caldari Starship Engineering,266,39.958,1.376.820.130,L
Scarab I,9,147,1.376.764.488,L
Providence Mabebu Exchange SKIN,2,2,1.375.618.929,L
Dread Guristas 425mm Railgun,10,15,1.375.041.439,L
Zainou 'Snapshot' Torpedoes TD-605,9,10,1.373.433.129,L
Skybreaker Sponsored Security SKIN,12,12,1.373.235.602,L
Brynn's Modified Sensor Booster,2,2,1.371.498.680,L
Large Kinetic Armor Reinforcer II,7,8,1.371.032.123,L
Medium Trimark Armor Pump I,380,1.663,1.370.860.128,L
Large Mercoxit Compressor I Blueprint,3,3,1.368.000.000,L
Dark Blood Cap Recharger,38,56,1.367.848.678,L
Neo Mercurite,14,49.945,1.367.301.873,L
Unstable Heavy Warp Disruptor Mutaplasmid,1,1,1.366.249.984,L
Megathron Federal Police SKIN,4,4,1.365.032.816,L
Ishkur,35,43,1.363.679.082,L
High-grade Talisman Epsilon,2,2,1.363.574.309,L
Guristas Brass Tag,32,59,1.363.303.210,L
Scarab I Blueprint,4,5,1.362.137.504,L
Federation Navy Omnidirectional Tracking Link,31,48,1.362.099.117,L
Kronos Inner Zone Vanguard SKIN,1,1,1.362.000.000,L
Networked Sensor Array,26,28,1.360.616.728,L
Dark Abyss Matte - Limited,7,38,1.360.229.746,L
Glorified Unstable Small Cap Battery Mutaplasmid,4,4,1.356.507.401,L
Mystic S,260,1.072.592,1.356.041.462,L
Antiquarian Brass Metallic - Limited,13,98,1.355.162.745,L
Azure Cytoserocin,18,8.494,1.351.857.776,L
5MN Y-T8 Compact Microwarpdrive,2.587,7.242,1.350.929.753,L
Standup Hyasyoda Research Lab,5,5,1.349.639.726,L
Corpum A-Type Kinetic Energized Membrane,34,46,1.349.114.965,L
Capital Core Defense Operational Solidifier II,2,3,1.349.043.324,L
Domination Light Missile Launcher,13,30,1.347.541.837,L
Estamel's Modified Explosive Shield Amplifier,1,1,1.346.622.265,L
Polarized Mega Pulse Laser,39,185,1.345.566.804,L
Unit F-435454's Modified Drone Navigation Computer,1,1,1.344.933.315,L
Revelation Navy Issue Arkombine Arisen SKIN,3,3,1.342.975.042,L
Whelan Machorin's Ballistic Smartlink,5,5,1.342.850.185,L
Blackbody Driver,7,19,1.342.500.000,L
100MN Analog Booster Afterburner,7,7,1.342.377.422,L
Capital Capacitor Battery,21,82,1.341.972.995,L
Triplot Scan Acquisition Array,2,2,1.341.111.125,L
Large Warhead Rigor Catalyst II,22,33,1.340.215.050,L
Capital Absorption Thruster Array,3,9,1.340.000.784,L
Imperial Navy Large Armor Repairer,5,5,1.339.412.464,L
Tuvan's Modified Multispectrum Coating,2,2,1.339.399.936,L
Deep Void Matte - Unlimited,8,10,1.337.249.398,L
Compressed Zeolites,96,10.702.826,1.335.292.219,L
Mid-grade Hydra Alpha,6,6,1.335.167.014,L
Gila Abyssal Afterglow SKIN,1,1,1.335.000.000,L
Cap Recharger II,969,2.510,1.334.036.919,L
Capital Industrial Core I Blueprint,3,3,1.333.333.493,L
Unit P-343554's Modified Drone Navigation Computer,2,2,1.333.174.992,L
Machariel Angel's Hex SKIN,2,2,1.332.900.000,L
Megathron Triglavian Twilight SKIN,1,1,1.332.711.111,L
Anode Scoped Dual Giga Beam Laser,4,11,1.331.899.976,L
Compressed Celadon Mykoserocin,13,39.979,1.331.226.181,L
Pith B-Type EM Shield Hardener,13,14,1.330.370.515,L
Domination Large Artillery Battery,2,6,1.330.133.344,L
Omen Blueprint,12,15,1.330.071.708,L
Void L,191,4.062.036,1.329.518.135,L
Missile Guidance Computer II,558,1.308,1.329.263.209,L
Restrained Compounds,35,8.118,1.326.094.206,L
Tungsten Carbide Reaction Formula,32,99,1.324.286.921,L
Poteque 'Prospector' Astrometric Acquisition AQ-706,36,58,1.323.976.903,L
Shadow Serpentis Assault Damage Control,40,51,1.323.116.434,L
Fernite Carbide Reaction Formula,32,98,1.322.147.194,L
Brokara's Modified Heavy Capacitor Booster,1,1,1.316.777.789,L
Improved Exile Booster,78,206,1.315.215.125,L
Dromi I Blueprint,4,4,1.314.164.192,L
Compressed Azure Mykoserocin,14,40.766,1.313.113.108,L
Crusader,44,71,1.312.352.668,L
Improved Frentix Booster,33,193,1.309.904.930,L
Isotropic Neofullerene Beta-6,10,2.368,1.309.249.154,L
Dread Guristas Light Missile Launcher,21,43,1.308.675.623,L
True Sansha Cap Recharger,47,67,1.307.786.074,L
Low-grade Amulet Omega,4,4,1.305.860.224,L
Caldari Navy Commodore Insignia I,116,3.845,1.305.633.752,L
Shadow Serpentis 10MN Afterburner,24,26,1.305.228.392,L
Capital Drone Mining Augmentor II,6,7,1.302.838.807,L
Capital Remote Shield Booster II,6,8,1.300.460.846,L
Serpentis Control Tower,1,1,1.300.000.000,L
Inherent Implants 'Squire' Power Grid Management EG-604,10,11,1.299.663.710,L
Minmatar Phenomena Generator Blueprint,3,4,1.299.400.000,L
Caldari Navy Uranium Charge M,193,1.497.364,1.298.664.225,L
Vagabond Chainbreaker Khumaak SKIN,1,1,1.297.499.968,L
Amarr Control Tower Medium,4,4,1.296.450.738,L
Mid-grade Hydra Beta,5,5,1.295.980.572,L
Hive Green Matte - Limited,4,11,1.294.868.813,L
Proteus Offensive - Hybrid Encoding Platform,40,47,1.292.745.421,L
Shadow Sabik Satin - Limited,8,29,1.292.715.228,L
Fierce Electrical Filament,253,1.392,1.291.853.531,L
Capital Graviton Reactor Unit,1,25,1.290.518.167,L
'Holy Destiny' Electromagnetic Lance,1,1,1.290.335.985,L
Chelm's Modified Heavy Energy Nosferatu,1,1,1.290.000.000,L
XL Torpedo Launcher I,4,8,1.289.750.316,L
Republic Fleet Heavy Missile Launcher,18,50,1.288.810.320,L
Omber,185,2.171.539,1.286.615.971,L
Advanced Mass Reactions,27,43,1.285.531.563,L
Proteus Defensive - Nanobot Injector,29,31,1.284.974.180,L
Khanid Navy Warp Scrambler,2,2,1.284.962.500,L
Thrasher Fleet Issue Arkombine Arisen SKIN,1,1,1.284.000.000,L
Synth Blue Pill Booster,129,720,1.281.769.500,L
Venture Scope Syndication YC122 SKIN,2,2,1.280.666.667,L
Dominix Navy Issue Federal Police SKIN,1,1,1.280.000.000,L
Fertilizer,66,402.436,1.279.895.684,L
Legion Offensive - Assault Optimization,30,33,1.279.866.268,L
Gara's Modified Medium Armor Repairer,1,1,1.278.312.997,L
Vepas' Modified X-Large Shield Booster,1,1,1.278.000.032,L
Heavy Ion Blaster II,154,818,1.277.787.778,L
PPD Fullerene Fibers,37,154.062,1.277.748.737,L
Low-grade Snake Epsilon,8,10,1.275.538.401,L
Standup Siren I Blueprint,3,4,1.275.000.000,L
Bouncer II,130,827,1.274.737.872,L
Standard Crash Booster,112,632,1.270.501.817,L
Men's 'Outlaw' Jacket (Sansha's Nation),1,1,1.270.000.000,L
Advanced Mass Production,55,80,1.269.358.909,L
Federation Navy Sensor Booster,13,15,1.269.276.051,L
Deimos Intaki Syndicate SKIN,1,1,1.268.999.936,L
Kirin,47,74,1.268.927.445,L
High-grade Halo Omega,2,2,1.265.814.881,L
Standup Target Painter II,8,10,1.265.460.120,L
Antibiotics,186,2.887.374,1.265.191.447,L
Low-grade Nirvana Omega,5,5,1.265.097.345,L
Strong Frentix Booster,19,88,1.264.608.963,L
Small Capacitor Control Circuit II,289,545,1.264.230.724,L
Capital Inductive Compact Remote Capacitor Transmitter,7,7,1.263.842.639,L
Admixti Mutanite,198,297.534,1.263.659.124,L
Vengeance,38,53,1.262.830.434,L
Firbolg I Blueprint,8,14,1.262.773.605,L
Standup Point Defense Battery II,3,3,1.261.172.256,L
Brokara's Modified Capacitor Power Relay,2,2,1.256.649.984,L
Thukker Power Diagnostic System,10,12,1.256.200.000,L
Compressed Vitreous Mercoxit,16,23.077,1.255.362.719,L
Kikimora Red Meatgrinder SKIN,1,1,1.254.250.048,L
Brynn's Modified Co-Processor,2,2,1.253.555.519,L
Panola's Modified Radar ECM,1,1,1.252.000.000,L
Eifyr and Co. 'Gunslinger' Medium Projectile Turret MP-805,11,11,1.251.875.713,L
Corpum B-Type Medium Energy Neutralizer,13,16,1.250.706.108,L
Women's State Stargate Crew Top,1,1,1.250.000.000,L
1000 Aurum Token,2,2,1.249.900.032,L
Miasmos Amastris Edition,1,1,1.247.055.566,L
Medium Armor Repairer II,530,993,1.246.541.389,L
Large Asteroid Ore Compressor I Blueprint,10,10,1.246.300.000,L
Confessor Purity of the Throne SKIN,2,2,1.246.128.018,L
Inherent Implants 'Squire' Capacitor Emission Systems ES-706,2,2,1.246.031.714,L
Kaolin Kylixium,2,3,1.245.207.107,L
Eifyr and Co. 'Rogue' High Speed Maneuvering HS-905,8,10,1.244.751.163,L
Batch Compressed Brilliant Gneiss,3,1.275,1.244.117.875,L
True Sansha Medium Energy Neutralizer,17,18,1.243.484.418,L
Rupture Blueprint,12,19,1.243.436.470,L
Medium Gas Compressor I Blueprint,4,4,1.242.857.143,L
Low-grade Rapture Epsilon,6,7,1.242.232.440,L
Inherent Implants 'Noble' Repair Systems RS-606,2,2,1.242.175.000,L
Men's Paradoxical Scarf,3,3,1.242.161.974,L
Erebus Luminaire Rising SKIN,1,1,1.242.000.000,L
Zainou 'Snapshot' Auto-Targeting Explosion Radius FR-1006,3,3,1.240.250.032,L
Tengu Core - Electronic Efficiency Gate,31,35,1.240.116.489,L
Rorqual Capsuleer Elite XIX SKIN,1,1,1.239.666.688,L
Strong Crash Booster Reaction Formula,2,2,1.236.353.118,L
Caldari Navy Nova Light Missile,453,1.406.466,1.235.812.202,L
Mid-grade Mimesis Gamma,6,7,1.235.768.877,L
Capital Remote Repair Augmentor II,1,1,1.235.656.230,L
Trinary State Processor,198,284.090,1.235.501.742,L
Nightmare Luminae Polaris SKIN,1,1,1.235.500.032,L
Women's 'Blades' Headwear (gunmetal),2,2,1.235.287.488,L
Keres Inner Zone Vanguard SKIN,1,1,1.232.999.936,L
Camera Drones,17,17.257,1.232.485.996,L
Small Energy Neutralizer II,477,1.205,1.229.977.497,L
Hermes Compact Fighter Support Unit,8,10,1.229.286.997,L
Gistii A-Type 5MN Microwarpdrive,19,21,1.229.023.734,L
Rokh Celestial Coalescence SKIN,1,1,1.226.908.653,L
Glorified Unstable Small Armor Repairer Mutaplasmid,3,3,1.226.776.044,L
Men's 'Sterling' Dress Shirt (white/blue),2,2,1.226.760.000,L
Capital Mercoxit Compressor I,5,5,1.226.175.950,L
Mid-grade Ascendancy Omega,8,8,1.226.054.139,L
Tesseract Capacitor Unit,83,54.536,1.225.740.169,L
Siren II,19,75,1.225.570.790,L
Hypnagogic Neurolink Enhancer,22,6.262,1.225.465.128,L
Corpus A-Type Heavy Energy Neutralizer,3,3,1.224.787.488,L
Glorified Gravid Large Cap Battery Mutaplasmid,5,5,1.223.994.279,L
Algos Serpentis SKIN,1,1,1.223.000.064,L
Heavy Stasis Grappler II,172,230,1.222.870.082,L
High-grade Rapture Beta,3,3,1.222.639.472,L
Gravid Damage Control Mutaplasmid,15,35,1.222.324.731,L
Inherent Implants 'Squire' Power Grid Management EG-602,95,228,1.220.442.218,L
Odin Synthetic Eye (left/gray),1,1,1.220.159.987,L
Elara Restrained Mining Laser Upgrade,45,67,1.219.956.129,L
Inherent Implants 'Lancer' Controlled Bursts CB-705,7,9,1.219.451.439,L
Rifter Awakening YC125 SKIN,1,1,1.219.000.064,L
Vendetta Luminae Polaris SKIN,4,4,1.218.107.200,L
Corpum A-Type Medium Energy Nosferatu,32,42,1.217.783.173,L
Compressed Glistening Zeolites,32,2.285.337,1.217.144.431,L
Sense-Heuristic Neurolink Enhancer,15,6.158,1.216.694.047,L
'Augmented' Berserker,22,73,1.215.750.350,L
Zainou 'Deadeye' Guided Missile Precision GP-803,54,102,1.214.702.746,L
Syndicate Cloaking Device,4,4,1.212.682.102,L
CONCORD Capital Remote Capacitor Transmitter,5,6,1.211.879.240,L
Scorch Bomb Blueprint,5,6,1.210.868.000,L
Crystalline Carbonide Armor Plate,58,277.791,1.210.787.535,L
Dark Blood Power Diagnostic System,43,68,1.210.678.928,L
Capital Gremlin Compact Energy Neutralizer,11,14,1.208.950.238,L
Standup Capacitor Power Relay II,8,9,1.208.838.458,L
Skybreaker EDENCOM Victory SKIN,1,1,1.208.000.000,L
Low-grade Nomad Delta,5,5,1.206.550.505,L
Arbalest Compact Rapid Torpedo Launcher,4,9,1.206.427.977,L
Black Market 'Valdimar' Repair Drone Operation DR-905,2,2,1.206.224.976,L
Draugur Singularity Storm SKIN,2,2,1.206.111.128,L
Standup Focused Warp Disruptor II,7,7,1.205.503.028,L
Cynosural Field Generator I,250,483,1.204.673.962,L
Pressurized Oxidizers Reaction Formula,31,92,1.204.565.373,L
Selynne's Modified Heavy Energy Neutralizer,1,1,1.204.000.000,L
Inherent Implants 'Squire' Energy Pulse Weapons EP-705,7,8,1.203.816.176,L
Terahertz Metamaterials Reaction Formula,28,67,1.203.070.353,L
Low-grade Nirvana Gamma,9,9,1.202.986.918,L
'Deuce' Co-Processor I,30,41,1.202.817.530,L
Dark Blood 25000mm Steel Plates,2,2,1.202.166.656,L
Chelm's Modified Thermal Energized Membrane,2,2,1.201.550.016,L
Low-grade Harvest Beta,9,10,1.201.159.443,L
Curator II,121,854,1.200.881.650,L
Capital Ice Compressor I Blueprint,2,2,1.200.000.000,L
Basilisk Vitalshift EGO SKIN,1,1,1.200.000.000,L
Standup Focused Warp Disruptor I Blueprint,6,6,1.200.000.000,L
Standup Anticapital Missile Launcher I Blueprint,4,4,1.200.000.000,L
Women's 'Phanca' Cybernetic Arm (right),1,1,1.200.000.000,L
Gnosis Zakura Shumyu SKIN,1,1,1.199.833.355,L
Standup Stasis Webifier I Blueprint,6,6,1.199.666.667,L
Jump Portal Generator I Blueprint,3,3,1.199.172.552,L
Imperial Navy Mega Pulse Laser,4,7,1.197.360.000,L
Clone Vat Bay I Blueprint,2,2,1.196.657.664,L
Standup Firbolg I,13,112,1.196.473.669,L
'Executive' Remote Sensor Dampener,7,10,1.194.353.777,L
Zero-Point Mass Entangler,39,105,1.192.848.135,L
Fullerene Intercalated Graphite,41,187.007,1.192.734.911,L
Women's 'Sanctity' Dress (brown/gold),1,1,1.190.000.000,L
Mid-grade Talisman Omega,3,3,1.189.934.355,L
CreoDron 'Bumblebee' Drone Tuner T10-5D,1,1,1.188.999.936,L
Smuggler Lockbox,14,1.490,1.188.938.189,L
Medium Industrial Core I,54,69,1.188.370.640,L
Medium Vorton Projector I,9,11,1.187.357.144,L
Arbitrator Blueprint,13,14,1.184.969.134,L
Compressed Spodumain,13,66.565,1.184.322.201,L
Eifyr and Co. 'Gunslinger' Motion Prediction MR-703,52,83,1.180.896.946,L
Unit P-343554's Modified Omnidirectional Tracking Enhancer,2,2,1.180.711.082,L
Gist A-Type 100MN Afterburner,6,7,1.180.517.546,L
Capital Knave Scoped Energy Nosferatu,5,7,1.179.863.682,L
Domination X-Large Shield Booster,12,13,1.179.832.249,L
Low-grade Nomad Omega,3,3,1.177.448.791,L
Capital Tesseract Capacitor Unit,4,389,1.177.118.667,L
Glorified Unstable Medium Armor Repairer Mutaplasmid,2,2,1.176.183.673,L
Compressed Fullerite-C84,59,702.527,1.175.987.856,L
Large Compact Vorton Projector,2,2,1.175.611.115,L
Small Polycarbon Engine Housing II,307,766,1.173.630.819,L
Standup Variable Spectrum ECM I,20,28,1.173.527.395,L
Exequror Blueprint,9,11,1.173.370.833,L
Standup Focused Warp Disruptor I,18,21,1.173.137.681,L
Impetus Console,459,12.029,1.172.273.731,L
Standup Templar II,7,43,1.171.165.869,L
Federation Navy 425mm Railgun,5,10,1.170.679.968,L
Mining Drone II,299,1.955,1.169.418.849,L
Triage Module I,10,12,1.168.881.732,L
Compressed Viridian Mykoserocin,11,31.970,1.167.705.010,L
Standup M-Set Energy Neutralizer Projection II,2,2,1.167.700.000,L
Glorified Unstable Vorton Tuning System Mutaplasmid,2,2,1.167.341.593,L
Centum B-Type Explosive Energized Membrane,17,20,1.166.937.489,L
Domination Capital Shield Extender,5,6,1.165.813.246,L
Electronic Engineering,47,70,1.164.160.692,L
Cenobite I Blueprint,3,4,1.163.130.615,L
Nija's Modified Heavy Pulse Laser,1,1,1.163.000.064,L
Numon Family Heirloom,5,5,1.161.885.664,L
Capital Tractor Beam I,6,7,1.160.183.117,L
Caldari Navy Antimatter Charge S,524,3.813.221,1.159.540.195,L
Standup M-Set Equipment Manufacturing Time Efficiency I,1,1,1.159.115.981,L
Women's 'Sanctity' Dress (blue/silver),1,1,1.158.140.000,L
Gas Cloud Harvester I,89,227,1.157.340.647,L
Augoror Blueprint,12,14,1.155.277.055,L
Basic Capsuleer Day XXII Cerebral Accelerator,123,153,1.155.139.887,L
Ares,57,70,1.153.664.151,L
Medium Asteroid Ore Compressor I,92,113,1.153.645.407,L
Capital Thermal Shield Reinforcer II,7,8,1.153.510.765,L
Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency I,1,1,1.153.488.896,L
Standard Exile Booster,246,875,1.153.228.441,L
Glorified Unstable Gyrostabilizer Mutaplasmid,4,4,1.152.747.649,L
Poteque 'Prospector' Astrometric Pinpointing AP-606,36,48,1.152.140.288,L
Nightmare Copper Lightning SKIN,1,1,1.152.049.984,L
Domination EMP L,26,2.269,1.150.580.299,L
Major Threat Detection Array 2 Blueprint,1,1,1.150.000.000,L
50000MN Y-T8 Compact Microwarpdrive Blueprint,7,7,1.148.000.000,L
Mid-grade Ascendancy Gamma,6,6,1.147.714.791,L
Fernite Carbide Composite Armor Plate,37,199.085,1.147.374.350,L
Advanced Logistics Network,2,2,1.146.300.000,L
Republic Fleet 50MN Microwarpdrive,5,6,1.145.848.275,L
Agate Steel Metallic - Unlimited,3,3,1.145.760.000,L
Null L,178,2.737.774,1.145.626.710,L
Jump Drive Calibration,40,52,1.143.613.582,L
Loki Propulsion - Interdiction Nullifier,26,29,1.143.342.234,L
Small Low Friction Nozzle Joints II,305,607,1.143.331.210,L
Signal-5 'Needlejack' Filament,848,3.877,1.142.733.467,L
Bellicose,58,81,1.141.063.074,L
Syndicate 800mm Steel Plates,9,11,1.140.314.040,L
Vexor Intaki Syndicate SKIN,1,1,1.140.000.000,L
Fulleroferrocene,36,656.513,1.139.885.239,L
Phenolic Composites Reaction Formula,30,66,1.139.050.820,L
Compressed Bitumens,76,6.801.167,1.138.975.051,L
Compressed Onyx Ochre,21,241.284,1.138.430.868,L
Corpus A-Type Explosive Armor Hardener,5,6,1.138.244.516,L
Porpoise Capsuleer Elite XIX SKIN,1,1,1.137.499.968,L
Medium Azeotropic Restrained Shield Extender,786,1.816,1.137.129.290,L
Men's 'Marshal' Jacket (Gallente),1,1,1.137.000.000,L
Mobile Cynosural Inhibitor Blueprint,5,5,1.136.478.000,L
Leshak Capsuleer Day XXI SKIN,9,9,1.135.140.166,L
Standup Locust I,7,70,1.135.024.749,L
Gravid Ballistic Control System Mutaplasmid,67,128,1.133.522.566,L
Mid-grade Savior Delta,2,2,1.132.395.112,L
Men's 'Outlaw' Pants (Sansha's Nation),1,1,1.132.266.666,L
Dark Blood Multispectrum Coating,59,95,1.132.184.164,L
Large Cargohold Optimization II,14,22,1.132.110.273,L
Small Vorton Projector,30,59,1.131.760.693,L
Republic Fleet EMP S,511,2.386.407,1.131.215.274,L
Slaves,30,704.283,1.131.093.207,L
Women's State Stargate Crew Pants,1,1,1.131.000.064,L
Genetically Enhanced Livestock,29,126.739,1.130.892.226,L
Datacore - Nuclear Physics,224,17.856,1.129.827.928,L
Skirmish Command Burst II,242,698,1.129.597.887,L
Rocket Launcher II,509,2.852,1.128.986.976,L
Hulk Equinox Era SKIN,10,11,1.128.673.097,L
Panther Luminaire Rising SKIN,1,1,1.128.000.000,L
Apocalypse Navy Issue Lavacore Imperial SKIN,2,2,1.126.000.000,L
Hiver Finish - Limited,12,53,1.125.995.141,L
Standup M-Set Blueprint Copy Accelerator I,2,2,1.125.574.000,L
Hulk Lodestrike SKIN,1,1,1.124.999.936,L
Sustained Shield Emitter,111,76.323,1.124.457.340,L
Sentinel,32,44,1.124.408.255,L
Standup Tyrfing I,3,33,1.124.280.000,L
Fulleride Reaction Formula,31,97,1.122.815.540,L
Strong X-Instinct Booster Reaction Formula,1,1,1.122.792.015,L
Compressed Golden Mykoserocin,12,40.286,1.122.574.901,L
Mid-grade Ascendancy Alpha,8,8,1.122.446.247,L
Small Focused Beam Laser II,255,1.564,1.122.392.208,L
Orthrus Redclaw Sable SKIN,2,2,1.122.179.688,L
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-703,65,119,1.122.109.010,L
Minmatar Control Tower Medium,4,4,1.120.918.863,L
Augoror,59,118,1.120.570.707,L
Phylax Armor Booster III,92,112,1.120.388.331,L
Mystic M,189,606.909,1.119.025.729,L
Core X-Type Kinetic Armor Hardener,23,29,1.117.941.835,L
Republic Fleet Bouncer,76,389,1.117.298.803,L
Standup XL Energy Neutralizer I,7,10,1.115.963.030,L
Large Transverse Bulkhead I,38,108,1.115.228.914,L
