Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Tyrfing II,10,82,2.911.243.450,
Corpus X-Type Thermal Armor Hardener,53,63,2.910.966.821,
Serpentis Modified Capital Microprocessor,32,541,2.904.807.862,
Eris,55,87,2.900.863.734,
Redeemer Lavacore Imperial SKIN,1,1,2.900.000.000,
Men's Kaalakiota Crew Jacket,1,1,2.900.000.000,
Inquest 'Hedone' Entanglement Optimizer WS-803,1,1,2.899.500.096,
Core B-Type 100MN Afterburner,13,13,2.897.382.983,
Orthrus Triumphant Elite SKIN,1,1,2.895.000.064,
Shadow Serpentis Warp Scrambler,34,37,2.893.519.420,
Damage Control II,5.389,14.328,2.893.384.011,
Corpum A-Type Explosive Energized Membrane,46,52,2.890.439.799,
Potent 'Brainfreeze' Cerebral Accelerator,305,654,2.890.225.088,
Dread Guristas Lead Charge S,18,35.937,2.889.247.532,
Caldari Navy Shield Power Relay,65,116,2.885.988.589,
13th Tier Overseer's Personal Effects,371,1.879,2.884.736.758,
Caldari Navy Co-Processor,21,24,2.883.149.799,
Medium Ancillary Current Router I,744,1.491,2.880.210.861,
Magus,48,69,2.878.266.633,
Golem GalNet StreamCast Unit SKIN,14,18,2.875.273.348,
Valkyrie II,569,4.891,2.872.042.780,
Harpy Ghostbird SKIN,1,1,2.870.000.128,
Vizan's Modified Heavy Capacitor Booster,1,1,2.864.999.936,
Centum B-Type Multispectrum Energized Membrane,7,7,2.864.620.833,
Dark Blood Capacitor Power Relay,46,73,2.863.603.035,
Infiltrator II,549,4.102,2.862.448.850,
Sansha Modified 'Gnome' Implant,5,5,2.859.254.629,
Tungsten,78,1.788.316,2.857.992.819,
Ogre II,284,1.951,2.855.560.506,
Large Explosive Armor Reinforcer II,16,18,2.852.256.903,
Imperial Navy Modified 'Noble' Implant,8,8,2.851.953.247,
High-grade Snake Epsilon,3,3,2.850.249.984,
High-grade Crystal Alpha,40,44,2.849.307.521,
Mid-grade Harvest Gamma,8,8,2.843.132.599,
True Sansha Warp Disruption Field Generator,24,28,2.836.923.356,
Compressed Lime Mykoserocin,21,55.376,2.833.822.876,
Datacore - Gallentean Starship Engineering,210,31.207,2.831.007.785,
Standup M-Set Basic Medium Ship Manufacturing Material Efficiency II,1,1,2.830.333.269,
Damavik Triglavian Victory SKIN,2,2,2.830.124.928,
Compressed Golden Mykoserocin,18,41.613,2.827.034.246,
Large Core Defense Operational Solidifier II,21,30,2.824.731.466,
Tengu Propulsion - Fuel Catalyst,68,75,2.823.927.367,
Standup M-Set Advanced Medium Ship Manufacturing Material Efficiency II,1,1,2.821.999.936,
Tairei's Modified Heavy Energy Nosferatu,4,4,2.820.000.000,
Typhoon Fleet Issue,5,5,2.818.547.670,
Capital Trimark Armor Pump I,44,125,2.818.474.497,
Capital Auxiliary Nano Pump II,3,3,2.815.524.229,
Inherent Implants 'Noble' Repair Proficiency RP-905,16,21,2.812.365.536,
Pirate Detection Array 3,6,7,2.808.149.617,
Pilot's Body Resculpt Certificate,5,5,2.804.207.265,
Nano-Factory,233,6.126,2.804.004.016,
16th Tier Overseer's Personal Effects,225,1.036,2.803.858.875,
Harpy,75,112,2.801.592.404,
Imperial Navy Infiltrator,290,1.884,2.800.950.058,
Zainou 'Deadeye' Missile Projection MP-705,22,25,2.798.341.902,
Standup M-Set Basic Medium Ship Manufacturing Time Efficiency II,1,1,2.796.999.936,
Harpy Kimotoro Eskeitan SKIN,1,1,2.796.999.936,
Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency II,1,1,2.796.999.936,
Standup M-Set Ammunition Manufacturing Material Efficiency II,1,1,2.796.000.000,
Standup M-Set Drone and Fighter Manufacturing Material Efficiency II,1,1,2.796.000.000,
Standup M-Set Advanced Small Ship Manufacturing Time Efficiency II,1,1,2.796.000.000,
Cybernetic Subprocessor - Basic,222,381,2.787.306.349,
Erebus Interstellar Convergence SKIN,3,3,2.785.319.809,
Pith B-Type Large Shield Booster,15,15,2.780.145.050,
Gistum B-Type Medium Shield Booster,25,28,2.776.745.480,
Medium EM Shield Reinforcer II,543,1.118,2.776.465.550,
Tuvan's Modified Sensor Booster,1,1,2.770.000.043,
Mid-grade Nomad Gamma,9,13,2.769.976.632,
CONCORD Capital Remote Shield Booster,6,8,2.768.606.873,
Dread Guristas Heavy Missile Launcher,8,9,2.762.044.225,
Harbinger Blueprint,4,4,2.760.249.984,
Gist X-Type EM Shield Hardener,26,31,2.759.224.841,
Caldari Navy Rapid Heavy Missile Launcher,20,51,2.756.913.467,
Standup M-Set Advanced Large Ship Manufacturing Material Efficiency I,3,3,2.755.221.880,
Prophecy,42,54,2.755.045.041,
Gist C-Type Large Shield Booster,9,9,2.753.785.099,
Heavy Warp Scrambler II,14,18,2.750.090.035,
Covert Cynosural Field Generator I,205,358,2.748.483.527,
Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1005,19,22,2.745.056.689,
Gistum C-Type 10MN Afterburner,24,25,2.743.408.457,
Warp Disruptor II,1.257,2.824,2.742.485.677,
Zainou 'Gypsy' CPU Management EE-603,102,184,2.738.826.974,
Fullerite-C72,142,522.975,2.738.300.250,
Large Moon Ore Compressor I Blueprint,5,5,2.738.249.856,
Conflagration L,256,10.778,2.733.858.757,
Nightmare Ghost's Hex SKIN,1,1,2.730.000.000,
Dread Guristas Rapid Light Missile Launcher,17,38,2.727.929.471,
Doomsday Rapid Firing,11,11,2.724.057.853,
Supratidal Entropic Disintegrator II,28,39,2.723.342.736,
Medium Core Defense Operational Solidifier II,87,122,2.722.331.783,
Aoede' Mining Laser Upgrade,5,5,2.719.788.849,
Heavy Neutron Blaster II,343,1.881,2.719.263.323,
Loki Propulsion - Intercalated Nanofibers,61,72,2.714.701.538,
Large Semiconductor Memory Cell II,23,29,2.712.832.057,
Standup M-Set Advanced Small Ship Manufacturing Material Efficiency I,3,3,2.708.710.198,
Brokara's Modified Large EMP Smartbomb,2,4,2.706.499.968,
Dual Giga Beam Laser II,6,12,2.703.349.112,
Large Vorton Specialization,28,41,2.701.953.310,
Medium Gas Compressor I Blueprint,9,9,2.700.000.000,
Unit F-435454's Modified Burst Jammer,1,1,2.699.666.688,
Standup M-Set Advanced Small Ship Manufacturing Material Efficiency II,1,1,2.698.000.000,
Compressed Mercoxit,24,64.664,2.697.785.004,
G-O Trigger Neurolink Conduit,94,407,2.697.627.610,
Scandium Metallofullerene,95,168.542,2.693.990.198,
Recursive Computing Module,95,4.076,2.690.770.830,
High-grade Rapture Epsilon,2,2,2.690.104.513,
Compressed Fullerite-C32,46,330.504,2.689.303.956,
Templar II,30,363,2.687.963.722,
Compressed Dark Glitter,24,10.346,2.682.480.579,
Standup M-Set Moon Drilling Stability II,1,1,2.682.031.280,
Manticore,111,150,2.681.579.716,
Mid-grade Rapture Epsilon,5,5,2.680.219.446,
Barghest Redclaw Sable SKIN,2,2,2.673.225.207,
Dark Blood Capital Armor Repairer,2,2,2.672.062.512,
Compressed Rich Plagioclase,126,69.584.235,2.670.091.883,
Shadow Serpentis Sensor Booster,45,53,2.666.687.753,
Domination Control Tower,1,1,2.664.666.624,
Zainou 'Snapshot' Light Missiles LM-906,4,4,2.664.618.782,
Armor Plates,1.398,226.633,2.659.700.533,
Gravid Large Cap Battery Mutaplasmid,36,50,2.659.044.992,
Brokara's Modified Cap Recharger,2,2,2.658.017.970,
Tengu Sukuuvestaa SKIN,1,1,2.656.500.128,
Oxides,62,251.582,2.653.153.245,
Thon's Modified Cloaking Device,1,1,2.652.888.860,
Sentient Burst Jammer,12,13,2.650.349.669,
Stabber Fleet Issue,39,45,2.648.043.881,
Cyclops II,11,71,2.644.388.422,
Leshak Kybernaut Clade SKIN,1,1,2.643.773.431,
Precursor Dreadnought,31,35,2.643.268.633,
425mm Railgun II,126,744,2.643.110.341,
50MN Digital Booster Microwarpdrive,6,7,2.639.558.235,
Mid-grade Amulet Gamma,46,57,2.636.739.427,
Capital Core Defense Operational Solidifier II,4,4,2.631.204.156,
Domination Warp Disruptor,24,29,2.630.282.199,
Caldari Navy Medium Shield Extender,145,328,2.629.902.949,
Standup M-Set Moon Drilling Efficiency II,1,1,2.628.593.800,
Corpus B-Type Heavy Energy Neutralizer,19,22,2.628.090.752,
Khumaak,21,278.833,2.626.605.951,
Stratios Friendship League SKIN,3,3,2.622.114.420,
Standup M-Set Basic Capital Component Manufacturing Material Efficiency I,4,4,2.619.910.227,
High-Tech Manufacturing Tools,526,2.359,2.615.467.301,
Standup M-Set Basic Large Ship Manufacturing Material Efficiency I,3,3,2.614.840.108,
Inherent Implants 'Lancer' Large Energy Turret LE-1006,4,4,2.614.022.424,
Dragonfly II,21,215,2.612.322.156,
Medium Vorton Projector II,28,42,2.610.556.927,
Sentient Sensor Booster,48,60,2.609.013.805,
Mobile Observatory,26,51,2.607.202.141,
Caldari Navy Power Diagnostic System,74,176,2.603.825.949,
Pacifier SARO 'Black Troop' SKIN,2,2,2.599.000.032,
Absolution,5,7,2.598.419.144,
Cataclysmic Firestorm Filament,121,381,2.597.533.306,
Auto-Integrity Preservation Seal,558,134.733,2.594.967.904,
Stork,42,53,2.594.073.763,
Republic Fleet Valkyrie,242,1.339,2.593.503.678,
Low-grade Asklepian Epsilon,13,15,2.591.961.638,
Mid-grade Asklepian Gamma,34,37,2.583.885.284,
Dread Guristas X-Large Shield Booster,34,37,2.582.445.745,
Standup Moon Drill I,22,27,2.582.284.715,
7th Tier Overseer's Personal Effects,1.468,39.693,2.580.594.183,
Standup M-Set Basic Small Ship Manufacturing Material Efficiency I,3,3,2.576.150.029,
Tuvan's Modified Multispectrum Energized Membrane,3,3,2.575.937.520,
Marshal Iceblade Guerilla SKIN,1,1,2.573.000.021,
Republic Fleet EMP L,238,2.304.278,2.571.502.084,
Paladin Luminaire Rising SKIN,1,1,2.568.999.936,
Rogue Drone 46-X Nexus Chip,59,87,2.568.050.400,
Datacore - Quantum Physics,453,53.276,2.567.103.567,
Sleeve - 'Drone' (left),1,1,2.567.000.064,
Pith A-Type Large Shield Booster,10,10,2.564.700.900,
Agency 'Overclocker' SB7 Dose III,245,595,2.562.862.022,
Medium Vorton Projector I,11,12,2.561.307.108,
Obelisk Redclaw Sable SKIN,2,2,2.559.780.006,
Prophecy Blueprint,4,4,2.556.963.996,
Shadow Serpentis 25000mm Steel Plates,2,2,2.555.625.024,
Typhoon Fleet Issue Cryptic Mimesis SKIN,3,3,2.555.530.128,
Low-grade Harvest Delta,7,7,2.553.306.138,
Standup M-Set Advanced Large Ship Manufacturing Material Efficiency II,1,1,2.552.800.000,
Women's 'Olympian TorsoRig' Body Augmentation,16,16,2.552.462.258,
EDENCOM Battleship,20,28,2.549.178.892,
Federation Navy 50MN Microwarpdrive,23,27,2.548.200.147,
Mid-grade Snake Gamma,23,32,2.547.487.430,
Legion Defensive - Covert Reconfiguration,53,63,2.547.159.100,
Attainment Decryptor,386,1.299,2.543.563.949,
Frostline 'Clavicula' Integrated Analyzer,6,6,2.538.613.997,
Genolution Core Augmentation CA-2,35,40,2.538.350.218,
Eifyr and Co. 'Alchemist' Gas Harvesting GH-805,13,17,2.537.274.515,
Medium Vorton Specialization,41,59,2.535.295.688,
Quad 3500mm Siege Artillery II,5,8,2.534.500.425,
Caldari Navy Scourge Light Missile,777,3.346.717,2.534.177.404,
Caldari Dreadnought,13,15,2.533.899.256,
Acolyte II,1.186,10.131,2.524.432.428,
Wolf,81,112,2.521.619.744,
Shadow Serpentis Heavy Warp Scrambler,1,1,2.518.906.280,
Medium Nanobot Accelerator II,51,67,2.518.146.296,
Medium Transverse Bulkhead II,125,456,2.518.111.178,
Scorch L,244,10.257,2.512.791.299,
Zainou 'Gypsy' CPU Management EE-606,3,3,2.510.666.688,
Augmented' Valkyrie,47,140,2.509.048.479,
Shadow Serpentis Stasis Webifier,31,36,2.506.721.973,
Draclira's Modified Heavy Capacitor Booster,1,1,2.500.000.000,
Thanatos Intaki Syndicate SKIN,1,1,2.497.999.872,
Standup Arcing Vorton Projector I,1,1,2.497.666.645,
Compressed Bistot,47,858.869,2.497.072.151,
Gravitational Transportation Field Oscillator,1,1,2.495.500.032,
Garmur Triumphant Elite SKIN,1,1,2.494.666.667,
Estamel's Modified Shield Boost Amplifier,1,1,2.492.500.096,
Mid-grade Virtue Gamma,20,22,2.490.138.062,
Confessor Crown and Swords SKIN,1,1,2.488.999.936,
Paladin Purity of the Throne SKIN,2,2,2.487.844.921,
Estamel's Modified Multispectral ECM,1,1,2.487.291.680,
25000mm Rolled Tungsten Compact Plates,15,21,2.476.311.542,
Men's Republic Fleet Ordnance Jacket,1,1,2.475.500.032,
Light Fighters,20,23,2.474.770.600,
Capacitor Console,297,5.998,2.474.441.916,
Republic Fleet Stasis Webifier,19,20,2.469.886.499,
Gyrostabilizer II,986,4.179,2.469.712.829,
Inherent Implants 'Squire' Capacitor Management EM-803,123,232,2.467.265.670,
Nyx Yoiul Star SKIN,1,1,2.466.000.000,
Thrasher Fleet Issue,76,133,2.464.186.559,
Advanced Spaceship Command,38,49,2.463.323.906,
Standup M-Set Basic Capital Component Manufacturing Material Efficiency II,1,1,2.461.624.960,
Loki Defensive - Augmented Durability,54,69,2.457.704.961,
Vedmak Copper Lightning SKIN,1,1,2.457.333.248,
True Sansha Capacitor Power Relay,69,92,2.456.601.360,
Cyclone,41,49,2.456.165.977,
Eifyr and Co. 'Alchemist' Biology BY-810,30,40,2.454.736.471,
Alligator Luminae Polaris SKIN,14,15,2.453.463.115,
Pith C-Type Large Shield Booster,16,16,2.452.549.217,
Caldari Navy Hookbill,142,267,2.448.575.972,
Chimera Blueprint,2,2,2.448.000.000,
Large Scoped Vorton Projector,3,3,2.446.388.909,
Industrial Cynosural Field Generator,183,521,2.444.450.695,
Garmur Waschi Uprising 'Combat' SKIN,1,1,2.440.999.936,
Leopard,7,7,2.437.650.616,
Capital Gas Compressor I Blueprint,2,2,2.433.999.872,
Capital Moon Ore Compressor I Blueprint,2,2,2.433.999.872,
Kikimora Copper Lightning SKIN,2,2,2.429.346.938,
Republic Fleet Medium Cap Battery,97,154,2.424.630.325,
Dread Guristas Warp Disruptor,73,156,2.420.786.481,
Gravid Large Armor Plate Mutaplasmid,27,50,2.419.394.950,
Oxygen,270,11.672.658,2.418.704.366,
Shadow Serpentis Large Plasma Smartbomb,23,28,2.417.858.067,
Legion Core - Augmented Antimatter Reactor,51,60,2.417.846.407,
Enforcer SARO 'Black Troop' SKIN,1,1,2.416.635.807,
Expired CMT-05N Nullsec Ice Storm Filament,772,2.424,2.416.536.502,
Corelum B-Type Medium Armor Repairer,13,14,2.412.114.329,
Tairei's Modified Cap Recharger,2,2,2.408.333.368,
Vermillion Mykoserocin,66,63.934,2.404.863.917,
Women's 'Minima' Heels,2,2,2.403.008.479,
Catalyst Navy Issue,76,122,2.401.334.427,
Large Gas Compressor I Blueprint,4,4,2.400.000.000,
Echo,1,1,2.399.000.064,
Leviathan Zento Isideko Combine SKIN,1,1,2.399.000.064,
Standup M-Set Composite Reactor Material Efficiency II,1,1,2.396.999.936,
Standup M-Set Biochemical Reactor Time Efficiency II,1,1,2.396.999.936,
Dominix Navy Issue Federal Police SKIN,1,1,2.396.999.936,
Standup M-Set Biochemical Reactor Material Efficiency II,1,1,2.395.000.064,
Small Transverse Bulkhead II,260,1.37,2.390.997.472,
Amarr Control Tower Small,15,17,2.387.521.129,
Augmented' Ogre,37,137,2.387.474.988,
Unstable Damage Control Mutaplasmid,12,14,2.384.143.904,
Women's 'Sanctity' Dress (black/gold),2,2,2.382.999.872,
Caldari Navy Scourge Heavy Missile,527,2.939.979,2.382.210.702,
Domination Gyrostabilizer,48,85,2.380.288.360,
Paladin Blood Raiders SKIN,1,1,2.378.973.327,
Zainou 'Snapshot' Heavy Assault Missiles AM-706,3,3,2.376.017.220,
Zainou 'Beancounter' Industry BX-804,15,17,2.372.361.886,
Life Support Backup Unit,543,64.622,2.365.212.873,
Gas Cloud Harvesting,60,107,2.364.510.608,
Domination Tracking Enhancer,42,75,2.363.250.711,
Black Market 'Valdimar' Drone Durability DD-1003,1,1,2.360.265.301,
Mjolnir Rage Torpedo,221,1.706.401,2.355.441.955,
Warp Disrupt Probe,387,35.02,2.354.269.744,
Raysere's Modified Capacitor Power Relay,1,2,2.352.333.297,
Zainou 'Deadeye' Rapid Launch RL-1003,114,186,2.350.376.989,
Federation Navy 100MN Afterburner,56,91,2.349.866.970,
Women's 'Avenue' Shirt (black),2,2,2.349.264.265,
Datacore - Hydromagnetic Physics,410,31.123,2.343.906.133,
Standup L-Set Blueprint Copy Optimization I,1,1,2.337.400.013,
Gravid Capital Armor Repairer Mutaplasmid,2,2,2.337.128.539,
Enyo,74,110,2.334.328.936,
Minokawa Blueprint,2,2,2.333.333.333,
Compressed Moonshine Ytirium,19,11.609.401,2.331.714.475,
Small Hyperspatial Velocity Optimizer II,539,1.583,2.331.126.149,
Standup M-Set Advanced Component Manufacturing Material Efficiency I,3,3,2.331.071.602,
Consumer Electronics,107,533.663,2.330.362.568,
Core B-Type Large Armor Repairer,7,7,2.327.036.838,
Cormorant Navy Issue Arkombine Arisen SKIN,23,32,2.326.156.542,
Neurolink Enhancer Reservoir,7,14,2.324.608.455,
Memory Augmentation - Basic,221,414,2.323.334.997,
Brutix Federal Police SKIN,2,2,2.318.200.000,
Standup M-Set Basic Capital Component Manufacturing Time Efficiency II,1,1,2.312.499.968,
425mm AutoCannon II,259,1.347,2.310.040.531,
Precious Metals,147,7.401.488,2.308.900.489,
Entrapment Array 5,1,2,2.306.875.040,
Widow Fireblade Guerilla SKIN,1,1,2.302.716.065,
Orthrus Waschi Uprising 'Combat' SKIN,1,1,2.300.000.000,
High-grade Hydra Gamma,3,3,2.298.874.944,
Vespa II,484,3.513,2.298.846.789,
Crosslink Compact Ballistic Control System,337,642,2.295.951.289,
Stabber,118,163,2.293.742.399,
Support Fighters,18,20,2.293.547.951,
Elite Drone AI,226,5.308,2.293.154.134,
Compressed Malachite Mykoserocin,18,48.021,2.291.698.697,
Standup M-Set Equipment Manufacturing Material Efficiency II,1,1,2.290.000.000,
Mid-grade Crystal Beta,66,80,2.289.258.274,
Loki Offensive - Projectile Scoping Array,40,46,2.288.825.322,
Thrasher Fleet Issue Heartsurge SKIN,1,1,2.286.000.128,
Unstable 100MN Afterburner Mutaplasmid,28,34,2.284.656.397,
25000mm Crystalline Carbonide Restrained Plates,15,28,2.283.692.556,
Republic Fleet Command Mindlink,7,7,2.282.509.900,
Standup M-Set Equipment Manufacturing Time Efficiency II,1,1,2.280.000.000,
Overmind 'Goliath' Drone Tuner T25-10S,5,7,2.278.813.705,
Large Thermal Armor Reinforcer II,13,15,2.276.853.906,
Censer' Medium Cap Battery,20,23,2.274.583.463,
Hail L,257,5.056.839,2.272.835.512,
Neural Boost - Basic,203,363,2.272.727.627,
Capital Capacitor Control Circuit II,7,10,2.270.928.709,
Leviathan Interstellar Convergence SKIN,1,1,2.269.570.247,
Medium Polycarbon Engine Housing II,143,247,2.267.484.851,
Medium Explosive Armor Reinforcer II,79,108,2.266.751.941,
Datacore - Graviton Physics,288,52.372,2.264.123.316,
Large Gas Compressor I,16,16,2.261.203.298,
Large Industrial Core I Blueprint,7,7,2.260.714.286,
Centus C-Type Kinetic Armor Hardener,10,11,2.259.111.898,
High-grade Amulet Alpha,23,26,2.259.085.099,
Vorton Arc Extension,25,38,2.256.639.719,
Monitor SARO 'Black Troop' SKIN,2,2,2.252.522.218,
Gila Abyssal Afterglow SKIN,1,1,2.250.750.048,
Naglfar Awakening YC125 SKIN,2,2,2.250.251.837,
Archon Blueprint,2,2,2.250.000.000,
Augoror Navy Issue Serene Rou SKIN,2,2,2.249.999.872,
Inherent Implants 'Squire' Power Grid Management EG-603,90,156,2.249.629.741,
Proteus Defensive - Covert Reconfiguration,63,75,2.248.560.616,
Gas Cloud Scoop I,367,948,2.248.170.305,
Smuggler Lockbox,34,3.896,2.245.423.407,
Avatar Awakening YC125 SKIN,1,2,2.239.656.240,
Synth Drop Booster,169,798,2.238.609.534,
Unit P-343554's Modified Drone Navigation Computer,2,2,2.237.333.333,
Compressed Scordite,172,209.046.879,2.235.958.526,
Gallente Freighter,17,23,2.231.684.309,
Rapid Light Missile Launcher II,639,3.12,2.231.344.744,
Zainou 'Gypsy' CPU Management EE-604,14,19,2.225.507.349,
Dread Guristas Cruise Missile Launcher,19,34,2.217.399.566,
Brynn's Modified Sensor Booster,1,1,2.214.500.096,
Medium Low Friction Nozzle Joints II,186,384,2.213.724.637,
Inertial Stabilizers II,2.846,10.346,2.210.136.220,
Coercer Navy Issue,68,116,2.207.114.374,
Neural Lace 'Blackglass' Net Intrusion 920-40,38,45,2.205.230.044,
Loki Core - Augmented Nuclear Reactor,63,76,2.204.978.938,
Naga Serene Song SKIN,1,1,2.200.000.000,
Setele's Modified 350mm Railgun,1,1,2.200.000.000,
Women's Triglavian Survival Suit (Svarog),2,2,2.200.000.000,
Shadow Tungsten Charge L,17,38.801,2.199.127.423,
Gallente Control Tower Small,12,13,2.197.428.238,
Compressed Celadon Mykoserocin,20,52.947,2.196.184.512,
Sin Serpentis SKIN,1,1,2.195.000.064,
Large Cargohold Optimization II,18,31,2.194.684.994,
Endurance,147,202,2.193.823.934,
Hecate Malagrin Marshlight SKIN,11,14,2.193.521.000,
Malediction,94,141,2.191.138.430,
Vedmak Red Meatgrinder SKIN,1,1,2.187.500.032,
Shadow Serpentis Warp Disruptor,31,32,2.183.510.159,
Naga Blueprint,4,4,2.182.753.714,
1400mm 'Scout' Artillery I,190,1.121,2.178.781.904,
Men's 'Bridgestat' Facial Augmentation,1,1,2.177.499.904,
Men's Kimotoro Eskeitan Commander's Pants,1,1,2.175.333.376,
Imperial Navy Multifrequency L,171,3.373,2.174.193.015,
Republic Fleet 10MN Afterburner,36,44,2.173.532.276,
Plasmoids,131,5.707.989,2.173.282.014,
Ferox Blueprint,4,4,2.172.273.134,
Doomsday Operation,9,9,2.171.273.598,
Corpus X-Type EM Armor Hardener,42,55,2.170.410.384,
Capital Turret Hardpoint,8,86,2.168.156.757,
Ultratidal Entropic Disintegrator I,10,11,2.167.356.813,
Domination Large Proton Smartbomb,11,18,2.165.504.526,
Amarr Control Tower,4,5,2.160.322.516,
Hematos,1,1,2.159.346.937,
Thon's Modified Multispectral ECM,2,2,2.158.780.537,
Domination Warp Scrambler,19,20,2.156.652.372,
Mid-grade Hydra Epsilon,5,5,2.155.490.560,
Polarized Neutron Blaster Cannon,35,155,2.148.690.254,
Capital Doomsday Weapon Mount Blueprint,1,1,2.146.886.784,
Caiman Arkombine Arisen SKIN,1,1,2.145.800.038,
Synth Crash Booster,210,1.22,2.142.614.044,
Domination 50000MN Microwarpdrive,1,1,2.140.000.000,
Ninazu Blueprint,2,2,2.140.000.000,
Rattlesnake GalNet StreamCast Unit SKIN,19,34,2.137.868.954,
Mamba Luminae Polaris SKIN,20,44,2.137.172.598,
Moros Blueprint,1,1,2.136.666.624,
Zainou 'Deadeye' Trajectory Analysis TA-706,2,2,2.130.731.970,
Core A-Type 500MN Microwarpdrive,5,5,2.130.127.507,
Megathron Gilded Predator SKIN,2,2,2.129.856.280,
Armored Command Mindlink,36,55,2.125.004.570,
Helios,108,125,2.123.104.150,
Heavy Missile Launcher II,520,3.169,2.122.374.022,
Corelum C-Type Multispectrum Energized Membrane,35,41,2.121.607.868,
10MN Afterburner II,1.015,1.81,2.120.915.143,
Nestor Friendship League SKIN,2,2,2.117.376.883,
Pithum C-Type Medium Remote Shield Booster,145,311,2.113.002.043,
Anathema,94,107,2.110.264.006,
Core B-Type 500MN Microwarpdrive,6,6,2.109.385.532,
RSS Core Scanner Probe,20,89,2.108.226.657,
Expired RDLF-10L Lowsec Ice Storm Filament,230,681,2.107.846.573,
Unit D-34343's Modified Sensor Booster,1,1,2.107.102.018,
Expired CPD-10N Nullsec Ice Storm Filament,275,1.231,2.105.668.387,
Vizan's Modified Capacitor Power Relay,1,1,2.105.000.064,
Ocular Filter - Basic,213,380,2.103.916.015,
Centum A-Type Explosive Energized Membrane,19,21,2.103.741.650,
Shadow Serpentis Capital Armor Repairer,2,2,2.100.999.936,
Brutix Navy Issue Federal Police SKIN,1,1,2.100.037.488,
Expired DNCR-05H Highsec Ice Storm Filament,1.088,4.502,2.099.203.418,
High-grade Snake Delta,4,4,2.093.650.016,
Caldari Control Tower Small,13,14,2.091.889.566,
Women's 'Rocket' Dress (glossy black),2,2,2.088.000.000,
Mobile Large Warp Disruptor II,21,61,2.082.548.750,
Rapid Heavy Missile Launcher II,206,961,2.082.202.531,
Standup M-Set Hybrid Reactor Material Efficiency I,3,3,2.077.651.908,
Gravimetric-FTL Interlink Communicator,8,17,2.077.474.565,
Inherent Implants 'Noble' Mechanic MC-805,14,15,2.074.578.365,
Azure Mykoserocin,66,72.223,2.069.083.318,
Gallente Dreadnought,10,13,2.066.320.104,
Orca Capsuleer Elite XIX SKIN,5,5,2.063.019.981,
Tengu Defensive - Amplification Node,48,52,2.062.143.012,
Firbolg II,17,196,2.061.285.181,
Reactive Armor Hardener,1.236,2.427,2.056.644.409,
CONCORD Ion Siege Blaster,2,4,2.051.330.400,
Draclira's Modified Thermal Energized Membrane,1,1,2.050.000.000,
Vagabond Heartsurge SKIN,1,1,2.049.000.000,
Unstable Gyrostabilizer Mutaplasmid,68,111,2.046.717.778,
Unstable X-Large Ancillary Shield Booster Mutaplasmid,4,5,2.042.226.915,
IFFA Compact Damage Control,934,2.34,2.039.815.044,
Magnetometric-FTL Interlink Communicator,10,16,2.037.777.303,
Unstable Vorton Tuning System Mutaplasmid,3,4,2.037.335.297,
Aura' Warp Core Stabilizer I,11,11,2.032.542.986,
Heretic,29,40,2.032.185.598,
True Sansha Control Tower Small,2,2,2.030.574.968,
Fullerite-C70,164,767.015,2.029.850.739,
Mid-grade Harvest Beta,7,8,2.029.367.246,
Gram II,12,169,2.025.600.611,
Unstable Entropic Radiation Sink Mutaplasmid,67,94,2.024.724.499,
Standup M-Set ME Research Accelerator II,1,1,2.023.750.000,
Shadow Serpentis Neutron Blaster Cannon,12,22,2.018.195.033,
Standup Manufacturing Plant I,8,9,2.016.711.131,
Mid-grade Crystal Alpha,67,78,2.015.958.232,
XL Torpedo Launcher I,11,20,2.014.860.895,
Unit W-634's Modified Drone Link Augmentor,2,2,2.013.962.496,
Medium Gas Compressor I,28,30,2.013.651.970,
Domination 800mm Repeating Cannon,4,9,2.004.999.952,
Mizuro's Modified Dual 425mm AutoCannon,1,1,2.003.000.064,
Einherji I,31,549,2.001.449.079,
Shadow Serpentis Dual 1000mm Railgun,1,1,2.000.000.000,
Cerberus Ghostbird SKIN,1,1,2.000.000.000,
Dark Blood Gamma L,1,4,2.000.000.000,
Panther Chainbreaker Khumaak SKIN,1,1,2.000.000.000,
Gotan's Modified Rapid Heavy Missile Launcher,1,1,2.000.000.000,
Standup Invention Lab I Blueprint,2,2,2.000.000.000,
Entrapment Array 4 Blueprint,1,1,2.000.000.000,
Hel Ultraviolence Vortex SKIN,1,1,2.000.000.000,
Vedmak Hadean Horror SKIN,1,1,2.000.000.000,
Rodiva Deadspace Dreamtime SKIN,1,1,2.000.000.000,
Mizuro's Modified Large Proton Smartbomb,1,2,1.999.950.016,
Strong Exile Booster,48,92,1.999.637.226,
Revelation Yoiul Star SKIN,1,1,1.999.000.064,
Tempest Fleet Issue Starkmanir SKIN,1,1,1.998.500.032,
Standup L-Set TE Research Optimization I,1,1,1.998.000.000,
Standup M-Set Invention Cost Optimization II,1,1,1.996.999.936,
Proteus Kopis Edge SKIN,2,2,1.996.449.984,
Amarr Freighter,12,20,1.994.832.535,
Ice Harvester II,177,513,1.991.481.303,
